"Any","Trimestre","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Contractes","Nombre"
2018,"3",7,"Horta-Guinardó",42,"la Clota","Contractes de lloguer",2
2018,"3",7,"Horta-Guinardó",43,"Horta","Contractes de lloguer",147
2018,"3",8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Contractes de lloguer",146
2018,"3",8,"Nou Barris",45,"Porta","Contractes de lloguer",152
2018,"3",8,"Nou Barris",46,"el Turó de la Peira","Contractes de lloguer",93
2018,"3",8,"Nou Barris",47,"Can Peguera","Contractes de lloguer",2
2018,"3",8,"Nou Barris",48,"la Guineueta","Contractes de lloguer",84
2018,"3",8,"Nou Barris",49,"Canyelles","Contractes de lloguer",11
2018,"3",8,"Nou Barris",50,"les Roquetes","Contractes de lloguer",56
2018,"3",8,"Nou Barris",51,"Verdun","Contractes de lloguer",72
2018,"3",8,"Nou Barris",52,"la Prosperitat","Contractes de lloguer",127
2018,"3",8,"Nou Barris",53,"la Trinitat Nova","Contractes de lloguer",37
2018,"3",8,"Nou Barris",54,"Torre Baró","Contractes de lloguer",5
2018,"3",8,"Nou Barris",55,"Ciutat Meridiana","Contractes de lloguer",35
2018,"3",8,"Nou Barris",56,"Vallbona","Contractes de lloguer",3
2018,"3",9,"Sant Andreu",57,"la Trinitat Vella","Contractes de lloguer",29
2018,"3",9,"Sant Andreu",58,"Baró de Viver","Contractes de lloguer",5
2018,"3",9,"Sant Andreu",59,"el Bon Pastor","Contractes de lloguer",42
2018,"3",9,"Sant Andreu",60,"Sant Andreu","Contractes de lloguer",317
2018,"3",9,"Sant Andreu",61,"la Sagrera","Contractes de lloguer",186
2018,"3",9,"Sant Andreu",62,"el Congrés i els Indians","Contractes de lloguer",91
2018,"3",9,"Sant Andreu",63,"Navas","Contractes de lloguer",121
2018,"3",10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Contractes de lloguer",350
2018,"3",10,"Sant Martí",65,"el Clot","Contractes de lloguer",163
